dates,SE,S,NE,N
1965-12-01,60526.47,15328.09,12003.1,8697.019999999999
1966-01-01,82206.59,10634.689999999999,12386.89,10557.550000000001
1966-02-01,90529.47,20923.73,17831.2,20413.1
1966-03-01,84402.04000000001,13173.74,19400.82,22390.3
1966-04-01,57802.38,5400.96,14443.71,26965.760000000002
1966-05-01,42928.11,3551.99,7981.99,21276.88
1966-06-01,32317.78,8470.02,5747.26,10243.419999999998
1966-07-01,26197.820000000003,9562.58,4619.24,5534.650000000001
1966-08-01,20923.88,8968.97,4071.21,3220.16
1966-09-01,19685.460000000003,17299.18,3509.65,2215.64
1966-10-01,26577.86,15995.849999999999,3536.16,2466.16
1966-11-01,39302.98,11162.900000000001,5387.67,3898.18
1966-12-01,47787.68000000001,11606.92,7555.51,6497.45
1967-01-01,74090.84,7712.139999999999,14646.05,11623.029999999999
1967-02-01,80801.47,9119.7,13590.88,15467.380000000001
1967-03-01,72337.06,10908.11,12836.52,19219.21
1967-04-01,53689.47000000001,4912.09,13017.2,29709.190000000002
1967-05-01,35587.329999999994,2737.2200000000003,8203.52,23392.510000000002
1967-06-01,31398.91,5138.969999999999,4605.12,16511.91
1967-07-01,24134.26,6223.96,3890.11,5016.969999999999
1967-08-01,19130.55,9702.560000000001,3367.93,2873.3799999999997
1967-09-01,17633.81,17432.74,2899.0,2085.84
1967-10-01,17580.41,7808.57,2697.0,1874.14
1967-11-01,30687.089999999997,5634.68,4613.39,3117.06
1967-12-01,46760.600000000006,7530.99,12320.48,6526.540000000001
1968-01-01,59142.65,4253.2,16336.16,10606.88
1968-02-01,57331.38,3257.15,14619.81,14911.74
1968-03-01,64523.77,2366.37,20481.08,29834.05
1968-04-01,40399.79,2925.77,16124.34,30015.020000000004
1968-05-01,27962.57,2443.7799999999997,7385.68,20664.43
1968-06-01,21294.28,2042.96,5029.17,9437.1
1968-07-01,17593.49,3806.97,4348.27,4997.360000000001
1968-08-01,16725.07,1834.24,3939.91,2846.27
1968-09-01,15784.32,3902.25,3716.46,2132.83
1968-10-01,19100.88,3836.1800000000003,3754.08,1962.5900000000001
1968-11-01,24011.85,8128.969999999999,5853.14,3190.03
1968-12-01,44244.09,5210.84,13591.67,12925.150000000001
1969-01-01,41481.05,9411.39,10159.16,14170.53
1969-02-01,47964.81,10118.6,12904.06,19297.89
1969-03-01,43638.75,7358.280000000001,13694.36,23875.73
1969-04-01,32718.38,12325.65,8088.19,21347.48
1969-05-01,23465.1,6773.65,5159.96,16736.260000000002
1969-06-01,22847.88,14529.4,3900.51,8329.12
1969-07-01,16913.05,9920.41,3427.03,3968.67
1969-08-01,13345.390000000001,4680.76,3020.69,2494.8
1969-09-01,11308.47,6848.030000000001,2563.92,1741.96
1969-10-01,22732.170000000002,7923.74,2653.71,1677.77
1969-11-01,41857.98,12112.13,6730.2,2462.9000000000005
1969-12-01,46619.090000000004,5009.25,15556.87,5530.870000000001
1970-01-01,65039.34,5178.1,19235.41,12715.66
1970-02-01,68151.69,4433.15,18985.01,20798.699999999997
1970-03-01,69790.84000000001,4388.95,15018.5,30952.79
